#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:12:16.164755584Z,509,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:12:16.294231543Z,456,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:12:16.408980334Z,456,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:12:16.538212043Z,371,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:12:57.159466918Z,410,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:12:57.288378209Z,658,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:34.605463543Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:41.402018459Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:42.053933168Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:43.074285709Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:44.079522251Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:45.197922376Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:46.278936584Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:47.142094584Z,0,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:48.077794376Z,726,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:49.096577626Z,744,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:18:50.098316918Z,631,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:01.038880168Z,697,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:02.017147001Z,763,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:02.985030834Z,829,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:04.043413126Z,829,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:04.977830543Z,829,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:06.084208543Z,829,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:06.987434543Z,832,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:07.993997584Z,835,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:09.153713959Z,835,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:10.065763001Z,835,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:11.088851376Z,835,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:12.012749543Z,835,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:13.018501168Z,31,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:14.067632876Z,294,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:15.024154918Z,354,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:16.143191751Z,375,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:17.442698418Z,399,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:18.050570251Z,415,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:19.007444001Z,385,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:24.047646168Z,377,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:28.381604959Z,369,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:29.067417043Z,361,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:30.061426876Z,353,x,positionData
,,0,2023-08-04T03:45:05.464937Z,2023-08-04T04:45:05.464937Z,2023-08-04T04:19:31.037342334Z,345,x,positionData
