#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:17.930035834Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:18.508647001Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:19.520075709Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:20.533751418Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:21.512277501Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:22.510690668Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:23.533450918Z,0,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:24.517997293Z,707,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:25.547133084Z,644,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:26.504943126Z,577,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:27.469350001Z,547,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:28.486506084Z,530,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:29.486319001Z,542,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:30.488627251Z,517,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:31.499284751Z,519,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:32.497745543Z,519,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:33.479989168Z,538,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:34.483259751Z,534,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:35.597337209Z,532,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:36.485156709Z,531,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:37.510387251Z,535,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:38.495312876Z,530,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:39.528209543Z,509,x,positionData
,,0,2023-08-08T05:40:35.891614Z,2023-08-08T06:40:35.891614Z,2023-08-08T06:36:40.519646084Z,505,x,positionData
