#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:05.501444542Z,0,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:05.724944501Z,0,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:06.658754043Z,0,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:07.64895271Z,0,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:08.655327043Z,0,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:09.651350001Z,653,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:10.658015668Z,653,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:11.62070946Z,602,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:12.683531501Z,555,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:13.677778668Z,551,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:14.671818835Z,531,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:15.685578418Z,539,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:16.66829721Z,531,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:17.708471001Z,540,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:18.62072021Z,530,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:19.709722793Z,531,x,positionData
,,0,2023-10-05T04:00:48.734551Z,2023-10-05T05:00:48.734551Z,2023-10-05T04:41:20.648177085Z,518,x,positionData
