#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:26.328476001Z,490,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:26.459084876Z,490,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:27.437104792Z,490,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:28.410366042Z,557,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:29.971044792Z,492,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:30.435930042Z,488,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:31.388442251Z,498,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:32.449451876Z,537,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:33.385122959Z,518,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:34.405218001Z,496,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:35.409874417Z,449,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:36.403589167Z,396,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:37.411170501Z,409,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:38.411566626Z,442,x,positionData
,,0,2023-08-28T08:16:04.039108Z,2023-08-28T09:16:04.039108Z,2023-08-28T08:44:39.398359917Z,471,x,positionData
