#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:19:58.664981542Z,685,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:20:01.393313168Z,227,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:25.52310671Z,683,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:28.889890418Z,478,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:29.609893835Z,686,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:29.796060251Z,732,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:29.980944793Z,284,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:30.164733293Z,236,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:23:59.167808543Z,129,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:24:00.006512293Z,22,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:24:00.971528043Z,22,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:24:02.01962921Z,22,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:24:02.998935251Z,6,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:24:06.685068585Z,6,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:24:07.64537221Z,0,x,positionData
,,0,2023-09-18T05:46:04.168363Z,2023-09-18T06:46:04.168363Z,2023-09-18T06:25:59.896170293Z,0,x,positionData
