#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:54:08.847441292Z,509,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:54:09.03787721Z,32,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:54:09.224366751Z,500,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:54:12.936090543Z,500,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:55:54.570384376Z,513,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:56:41.549625585Z,513,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:51.748157043Z,600,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:51.894245501Z,687,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:52.819597668Z,774,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:53.96589621Z,774,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:54.930325335Z,807,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:55.819308001Z,366,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:56.867473043Z,457,x,positionData
,,0,2023-09-25T07:12:34.315577Z,2023-09-25T08:12:34.315577Z,2023-09-25T07:57:57.790728668Z,492,x,positionData
