#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:00.987000001Z,210,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:01.763000001Z,68,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:04.885000001Z,835,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:05.109000001Z,719,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:05.299000001Z,425,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:05.674000001Z,495,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:06.918000001Z,504,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:07.118000001Z,427,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:07.351000001Z,9,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:07.564000001Z,427,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:07.758000001Z,68,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:07.944000001Z,780,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:08.135000001Z,675,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:08.286000001Z,422,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:08.497000001Z,270,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:08.684000001Z,522,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:08.909000001Z,456,x,positionData
,,0,2023-07-12T05:41:47.266986Z,2023-07-12T06:41:47.266986Z,2023-07-12T05:57:09.087000001Z,162,x,positionData
